Continent,Country,Capital,Cost of Living Index,Rent Index,Groceries Index,Local Purchasing Power Index,Restaurant Price Index,"Meal, Inexpensive Restaurant (USD)","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal) (USD),"Domestic Beer (0.5 liter draught, in restaurants) (USD)","Imported Beer (0.33 liter bottle, in restaurants) (USD)","Cappuccino (regular, in restaurants) (USD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)","Water (0.33 liter bottle, in restaurants) (USD)","Milk (regular), (1 liter) (USD)",Loaf of Fresh White Bread (500g) (USD),"Rice (white), (1kg) (USD)",Eggs (regular) (12) (USD),Local Cheese (1kg) (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),Apples (1kg) (USD),Banana (1kg) (USD),Oranges (1kg) (USD),Tomato (1kg) (USD),Potato (1kg) (USD),Onion (1kg) (USD),Lettuce (1 head) (USD),"Water (1.5 liter bottle, at the market) (USD)","Bottle of Wine (Mid-Range, at the market) (USD)","Domestic Beer (0.5 liter bottle, at the market) (USD)","Imported Beer (0.33 liter bottle, at the market) (USD)",Cigarettes 20 Pack (Marlboro) (USD),One-way Ticket (Local Transport) (USD),Monthly Pass (Regular Price) (USD),Taxi Start (Normal Tariff) (USD),Taxi 1km (Normal Tariff) (USD),Taxi 1hour Waiting (Normal Tariff) (USD),Gasoline (1 liter) (USD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)","Fitness Club, Monthly Fee for 1 Adult (USD)",Tennis Court Rent (1 Hour on Weekend) (USD),"Cinema, International Release, 1 Seat (USD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)","International Primary School, Yearly for 1 Child (USD)",1 Pair of Jeans (Levis 501 Or Similar) (USD),"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)",1 Pair of Nike Running Shoes (Mid-Range) (USD),1 Pair of Men Leather Business Shoes (USD),Apartment (1 bedroom) in City Centre (USD),Avg rent(1 bedroom),Apartment (1 bedroom) Outside of Centre (USD),Avg rent(3 Bedroom),Apartment (3 bedrooms) in City Centre (USD),Apartment (3 bedrooms) Outside of Centre (USD),Avg Price per SQ/Mtr,Price per Square Meter to Buy Apartment in City Centre (USD),Price per Square Meter to Buy Apartment Outside of Centre (USD),Average Monthly Net Salary (After Tax) (USD),"	Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Data quality
North America,Panama,Panama City,51.43,21.75,52.16,33.09,33.09,8,50,7,2.5,4,3.31,1.66,1.34,1.58,2.14,1.92,2.13,7.45,7.09,8.13,2.98,1.24,2.97,3.22,1.84,1.96,2.26,1.48,10,1.23,1.73,5.9,0.35,27.5,2,1.75,20,1.07,25000,20056.25,98.85,0.16,46.67,39.36,24.17,5.79,358.89,11675,52,43,75.53,91.25,908.95,709.62,510.29,1378.945,1784.21,973.68,1741.56,2180,1303.12,798.95,5.86,1
Europe,Norway,Oslo,100.9,34.68,97.31,83.11,83.11,20.11,108.58,12.06,9.9,9.55,4.55,3.1,2.83,2.06,3.41,3.16,4.05,12.02,13.85,27.09,2.92,2.16,2.89,3.77,2.16,2.59,2.45,2.26,17.09,3.31,4.15,14.58,3.92,81.84,10.41,1.51,50.27,2.18,35187.48,34065.51,239.31,0.16,48.99,45.68,33.56,16.04,332,9538.32,91.19,41.68,101.34,126.29,1405.05,1274.545,1144.04,2059.485,2296.3,1822.67,8419.005,9614.74,7223.27,3567.74,2.78,1
Europe,Finland,Helsinki,73.2,25.95,65.16,91.02,91.02,13.5,83.1,9.35,7.27,8.31,4.24,2.69,1.78,1.02,2.35,2.24,2.45,7.5,10.84,18.08,2.39,1.74,2.28,3.66,1.15,1.46,1.94,1.68,12.46,2.63,3.11,9.87,2.91,67.52,7.27,1.48,55.47,2.32,31160.9,31680.25,106.32,0.08,22.52,38.62,36.63,15.58,394.06,5401.22,94.6,41.06,83.03,133.21,1041.66,935.875,830.09,1763.05,2085.59,1440.51,6720.81,8789.35,4652.27,2834.36,1.27,1
Europe,Moldova,Chisinau,30.35,8.7,24.96,33.43,33.43,6.24,25.99,4.81,1.3,1.82,1.42,0.71,0.5,0.91,0.41,1.25,1.88,7.89,4.31,6.36,0.67,1.4,1.31,1.57,0.55,0.44,1.17,0.61,4.16,0.94,1.6,2.34,0.31,12.16,1.56,0.23,3.12,1.51,15647.42,19650.25,148.01,0.09,9.07,23.99,12.53,6.11,301.15,3234.9,50.34,31.16,88.27,97.09,316.53,273.355,230.18,481.74,558.47,405.01,995.235,1187.69,802.78,453.66,9.74,1
Europe,Latvia,Riga,48.45,11.77,38.37,51.65,51.65,10.39,51.93,7.27,4.15,3.12,2.88,1.28,1.24,1.37,1.15,2.22,2.45,10.04,7.26,10.69,1.39,1.58,1.91,2.87,0.88,0.62,1.37,0.74,7.27,1.6,1.69,4.67,1.19,51.93,2.44,0.78,10.39,1.98,22646.7,22825.36,300.35,0.12,17.31,40.39,23.05,9.35,370.39,15083.61,64.75,40.37,70.82,104.13,452.08,393.22,334.36,696.705,835.88,557.53,1944.115,2444.4,1443.83,1058.48,2.44,1
Europe,Lithuania,Vilnius,45.65,15.01,36.18,58.74,58.74,9.87,51.93,6.23,4.15,4.15,2.92,1.87,1.6,1.4,1.35,2.09,2.29,9.69,6.5,9.67,1.34,1.4,1.71,2.57,0.78,0.64,1.27,0.76,7.27,1.37,1.67,4.67,0.78,30.12,1.3,0.73,8.83,1.9,23539.46,23676.51,195.11,0.17,14.33,32.88,25.69,8.31,448.37,8301.89,73.5,36.2,81.07,103.57,762.11,644.12,526.13,1093.435,1359.91,826.96,3325.05,4037.62,2612.48,1261.28,2.42,1
Africa,Morocco,Rabat,33.83,8.98,30.63,34.36,34.36,3.26,25.59,5.12,3.02,3.72,1.73,0.52,0.33,0.71,0.41,1.29,1.27,7.78,4.68,7.69,1.21,1.08,0.51,0.57,0.44,0.5,0.33,0.54,9.3,1.87,2.1,3.54,0.56,23.26,0.49,0.67,3.72,1.23,23262.35,20625.8,37.56,0.09,30.53,22.83,18.14,5.58,128.04,3339.44,59.3,44.2,80.68,80.3,437.73,342.675,247.62,684.84,877.81,491.87,1599.715,2109.74,1089.69,421.25,4.48,1
Europe,Greece,Athens,56.22,12.68,44.73,39.73,39.73,12.46,51.93,7.27,4.15,5.19,3.4,1.89,0.52,1.58,1.14,2.28,3.82,10.6,8.8,11.35,1.94,1.83,1.2,1.96,1.06,0.94,0.91,0.88,7.27,1.49,2.3,4.78,1.25,31.16,3.64,0.83,15.06,2.26,22851.33,23523.88,261.34,0.48,31.74,39.9,24.67,8.31,486.93,9354.97,77.28,34.19,81.38,94.8,508.7,481.3,453.9,858.41,881.18,835.64,2562.895,2570.21,2555.58,931.36,4.14,1
Europe,Slovakia,Bratislava,44.68,16.11,39.74,54.7,54.7,8.31,46.74,7.27,2.08,2.6,2.47,1.98,1.6,0.93,1.31,1.51,2.63,11.7,6.42,12.08,1.59,1.59,2.02,3.45,1.06,0.95,1.18,0.73,5.19,0.95,1.52,4.67,0.93,31.16,4.15,1.04,16.2,1.84,23890.02,23560.04,213.5,0.07,19.45,34.61,13.23,9.35,528.99,13762.73,68.43,32.8,73.27,96.54,669.82,587.865,505.91,1035.37,1200.07,870.67,4223.265,4889.04,3557.49,1261.04,1.58,1
Europe,Ireland,Dublin,76.05,42.08,62.1,82.27,82.27,18.7,83.1,9.87,6.23,6.23,3.71,2.31,1.78,1.25,1.83,1.46,3.23,8.75,9.47,11.03,2.61,1.83,2.44,3.11,1.68,1.07,1.01,1.47,12.46,2.69,3.53,15.58,2.08,124.64,4.15,1.56,27.01,2.1,31160.9,30422.91,231.01,0.36,57.62,47.55,18.25,13.5,1236.7,9123.65,83.17,37.13,90.27,100.97,1989.88,1864.25,1738.62,3240.23,3599.73,2880.73,6158.94,7619.4,4698.48,3131.83,3.39,1
Europe,Portugal,Lisbon,47.94,20.73,39.01,46.8,46.8,12.46,51.93,7.27,2.6,3.12,1.94,1.7,1.17,0.86,1.31,1.26,2.57,8.85,6.84,10.88,1.9,1.27,1.49,1.97,1.15,1.22,1.23,0.8,4.15,1.26,2.04,5.51,1.87,41.55,3.64,0.52,15.37,2.09,28044.81,30757.11,127.21,0.18,34.41,39.32,11.77,7.79,436.57,10039.88,79.26,32.8,71.41,94.56,1215.82,1008.805,801.79,1710.395,2118.56,1302.23,4399.245,5695.09,3103.4,1099.9,2.42,1
Asia,Lebanon,Beirut,69.62,24.81,66.83,35.12,35.12,10,60,6.1,3,4.82,3.51,2.99,1.07,6.81,1.34,2.57,1.87,15.59,6.71,68.01,3.42,2.68,1.38,1.81,1.53,1.01,0.83,0.61,7,1.19,3.33,5.79,1.91,80,5,1.2,20,1.31,22000,21328.57,278.36,0.41,65.01,51.62,26.4,10,410.42,5222.22,83.4,57.78,136.43,121.67,718.75,570.9,423.05,1180.04,1477.78,882.3,2702.395,3928.57,1476.22,370.25,9.62,1
Europe,Estonia,Tallinn,53.68,16.37,42.29,63.46,63.46,12.46,62.32,7.27,4.88,4.67,3.38,2.07,1.72,0.99,1.12,2.01,2.27,9.43,7.38,13.41,1.73,1.24,2.02,2.73,0.97,0.72,1.3,0.88,8.31,1.61,1.98,5.25,1.56,31.16,3.12,0.83,12.46,2.03,22851.33,24374.06,297.48,0.05,26.84,53.24,34.28,9.35,310.45,6055.6,82.88,36.35,84.87,111.58,690.33,595.32,500.31,1064.015,1277.6,850.43,3463.15,4180.46,2745.84,1425.55,2.28,1
Oceania,New Zealand,Wellington,74.52,34.44,72.04,83.63,83.63,12.43,62.13,8.7,6.21,6.21,3.24,2.36,2.17,1.9,1.91,2.06,4.05,9.43,9.69,14.22,2.83,2.08,2.94,5.13,1.94,1.73,2.49,1.1,10.25,3.37,4.35,23.61,2.28,93.91,2.33,1.8,41.01,1.75,21746.24,19299.01,133.82,0.25,51.97,32.38,16,11.18,672.41,11893.86,69.43,39.28,88.23,115.05,1371.29,1248.655,1126.02,2049.97,2198.12,1901.82,5414.33,6035.61,4793.05,3338.01,4.14,1
Oceania,Australia,Canberra,77.75,36.84,77.44,104.63,104.63,15.42,73.77,8.82,6.37,6.71,3.24,2.24,1.73,1.38,2.01,1.82,3.61,8.54,7.37,14.21,2.91,2.36,2.7,4.96,2.1,1.61,2.16,1.46,13.41,3.52,4.11,23.47,2.25,70.42,3.51,1.45,34.87,1.35,20118.71,17991.4,133.15,0.21,50.58,44.47,12.93,12.07,1232.27,11937.1,58.15,33.62,80.47,106.25,1371.43,1256.685,1141.94,2112.185,2439.39,1784.98,4055.37,4891.75,3218.99,4672.58,2.85,1
North America,Jamaica,Kingston,49.67,15.1,53.41,30.25,30.25,6.48,45.39,6.48,1.95,3.24,3.3,0.93,0.68,3.47,2.74,0.98,2.75,12.89,6.11,6,4.21,2.25,4.06,2.41,2.01,2.21,1.92,1.07,12,2.15,2.59,9.08,0.88,32.42,1.95,2.92,9.4,1.32,38903,34079.74,133.37,0.06,40.58,52.23,13.29,9.73,252.87,1529.1,31.96,26.86,64.38,64.38,633.65,483.34,333.03,1017.6,1289.56,745.64,1845.825,1813.69,1877.96,583.55,8.07,1
Africa,South Africa,Cape Town,42.09,16.6,34.78,78.36,78.36,8.78,35.13,4.1,2.34,2.63,1.84,0.91,0.69,0.94,0.98,1.45,1.87,7.09,4.59,6.49,1.48,1.42,1.36,1.48,1.09,1.09,1,0.9,4.68,1.5,1.95,2.93,1.17,30.55,0.88,0.7,2.63,1.34,18736.24,21916.66,77.47,0.08,47.51,42.76,9.44,5.86,196.08,4594.77,48.3,33.62,89.08,78.02,722.68,602.485,482.29,1184.645,1415.56,953.73,1786.04,2108.49,1463.59,1288.41,8.49,1
Europe,Albania,Tirana,35.5,8.47,29.32,30.19,30.19,5.73,35.24,5.73,1.76,2.64,1.38,1.41,0.71,1.38,0.75,1.45,2.64,7.4,5.62,8.94,1.01,1.76,1.26,1.29,0.8,0.77,0.84,0.54,7.93,0.96,1.49,3.08,0.35,14.1,2.64,2.64,9.55,2.04,18941.21,19879.14,90.62,0.26,15.61,35.28,17.3,6.34,174.32,3334.42,45.84,34.8,74.62,82.61,421.83,336.72,251.61,619.625,784.35,454.9,1588.25,2163.8,1012.7,456.1,4.44,1
Asia,Cyprus,Nicosia,59.03,22.36,49.2,57.31,57.31,13.5,51.93,6.34,4.15,4.15,3.31,1.41,0.73,1.47,1.92,2.47,3.02,10.22,7.68,8.92,2.64,1.74,2.09,2.45,1.1,0.82,0.44,0.97,7.27,1.32,2.26,5.19,2.08,41.55,3.9,1.3,31.16,1.52,20150.71,25084.52,161.6,0.14,31,58.74,23.37,9.87,346.55,6321.21,81.36,39.99,85.6,101.79,626.33,568.8,511.27,1024.45,1151.73,897.17,1875.425,2181.26,1569.59,1414.11,2.63,1
North America,Canada,Victoria,70.22,34.33,70.01,87.98,87.98,18.61,70.73,8.93,5.96,5.96,3.67,1.99,1.78,2.5,2.75,3.26,3.65,12.25,12.84,13.51,3.38,1.29,3.6,4.46,2.49,2.33,2.54,1.92,14.15,2.52,2.75,12.47,1.86,63.28,2.74,1.49,31.02,1.59,23824.89,19460.1,97.88,0.18,71.47,51.02,11.58,10.78,918.25,13014.35,61.07,32.51,80.62,105.78,1495.66,1345.79,1195.92,2297.2,2523.12,2071.28,6609.145,7694.62,5523.67,3537.3,4.36,1
Europe,Slovenia,Ljubljana,53.88,17.9,47.71,59.48,59.48,10.39,41.55,6.44,3.12,3.12,1.9,2.3,1.79,1.12,1.59,1.87,2.68,11.23,8.54,11.14,1.99,1.39,1.99,2.89,0.93,1.26,1.46,0.74,6.23,1.2,1.92,4.67,1.35,38.43,2.03,1.09,17.64,1.61,21802.24,24016.74,246.17,0.12,34.38,44.33,19.14,8.31,478.6,10782.97,77.38,36.22,93.9,110.88,695.79,627.525,559.26,1140.46,1298.65,982.27,3942.595,4532.13,3353.06,1368.51,2.1,1
Europe,Bosnia And Herzegovina,Sarajevo,36.12,6.82,31.14,44.1,44.1,5.3,26.49,5.03,2.12,1.99,1.49,1.56,0.87,0.92,0.7,1.46,1.99,6.89,6.81,8.68,1.04,1.33,1.39,1.43,0.74,0.85,1.01,0.58,6.36,0.97,1.19,3.18,0.95,28.08,1.06,0.72,5.3,1.7,21188.42,19675.04,154.76,0.1,24.58,26.21,20.43,5.3,179.79,3259.84,68.36,33.15,79.9,89.61,282.19,235.81,189.43,400.04,485.18,314.9,1661.205,2050.02,1272.39,744.99,3.29,1
Africa,Botswana,Gaborone,40.17,10.21,35.16,62.63,62.63,11.53,34.59,5.96,1.54,1.92,2.54,0.85,0.57,1.14,0.74,1.52,2.1,5.74,4.35,4.94,1.69,1.35,2.04,1.3,1.19,1.27,1.11,0.85,6.92,1.47,1.76,4.23,0.5,21.68,0.54,2.31,3.84,1.02,18447.18,16093.25,46.49,0.12,46.84,36.59,6.46,5.76,154.88,4381.21,38.85,23.16,51.24,52.09,254.42,230.495,206.57,565.105,685.36,444.85,16549.625,1393.15,31706.1,719.22,9.96,1
South America,Suriname,Paramaribo,51.78,9.71,45.92,13.44,13.44,4.86,80,6.15,2.7,2.7,2.25,0.92,0.74,1.18,1.19,1.37,2.11,11.17,3.41,9.25,3.67,1.3,1.79,2.13,1.03,0.82,2.33,0.97,10,1.85,2.42,5.25,0.44,90,1.8,3,15,0.84,27500,7868.37,92.78,0.05,37.5,13.68,10,4.51,81.67,500,52.08,45.99,99.15,173.33,394.71,322.075,249.44,1100.885,1252.41,949.36,612.405,767.07,457.74,234.55,14.29,0
Europe,Switzerland,Bern,123.35,53.54,128.13,118.44,118.44,26.42,105.68,15.85,6.87,5.81,4.94,4.36,4.13,1.68,2.94,2.93,6.15,23.83,28.73,57.37,4.03,3,3.52,4.12,2.23,2.09,2.11,1.29,12.68,1.84,2.11,9.51,3.8,83.48,7.4,4.12,77.67,2.03,42270.88,41319.78,202.63,0.26,52.43,68.9,35.23,21.14,2562.67,28532.84,112.15,40.51,124.17,142.66,1254.92,1125.36,995.8,2080.96,2465.8,1696.12,9431.865,12505.13,6358.6,6143.37,2.1,1
Asia,Bahrain,Manama,54.77,29.22,44.59,61.41,61.41,5.3,53.05,6.63,7.96,10.61,4.55,0.72,0.36,1.57,1.33,1.56,2.42,6.99,7.35,7.96,2.01,1.63,1.72,1.11,0.84,0.78,1.91,0.61,18.57,1.97,3.21,5.84,0.8,37.13,5.3,2.65,7.96,0.51,23872.17,21099.14,169.42,0.1,56.81,86.94,46.42,9.28,320.51,8587.35,44.1,65.17,90.85,77.68,964.07,867.525,770.98,1541.745,1779.36,1304.13,1419.07,1545.06,1293.08,2080.35,5.94,1
Europe,Luxembourg,Luxembourg,80.5,60.09,74.75,98.84,98.84,20.49,88.29,10.39,5.19,5.71,3.78,3.1,3.31,1.28,3.24,2.31,3.57,20.2,11.85,18.18,2.63,1.45,2.44,4.39,1.56,2.37,1.5,0.6,9.35,1.66,2.06,5.61,0,0,4.93,3.12,36.35,1.69,25967.42,26695.9,297.59,0.26,55.69,48.95,23.63,12.46,1073.32,16520.35,92.44,42.14,122.05,120.75,1762.71,1638.305,1513.9,2821.25,3184.25,2458.25,11361.81,13056.03,9667.59,4135.59,1.95,1
North America,Barbados,Bridgetown,92.37,21.99,87.81,32.08,32.08,18.75,95.11,8.97,3.25,5,4,1.52,1.28,3.28,2.71,3.6,4.61,29.29,9.42,12.21,2.78,2.62,3.39,3.15,2.94,3.22,2.48,1.92,15,2.13,3.17,7.96,1.75,36,10,1.88,25,2.1,37500,39166.67,100,0.37,50,73.12,11.25,10,241.67,5333.33,77,60,134.38,118.75,540,495,450,1443.75,1700,1187.5,853.04,1706.08,0,1333.33,6.17,1
Oceania,Fiji,Suva,43.16,17.76,48.06,35.87,35.87,3.6,33.76,6.3,2.7,4.5,2.67,1.05,0.84,1.23,0.48,1.1,2.64,7.74,5.38,4.34,2.01,1.76,1.68,1.35,1.16,0.97,0.96,0.62,8.1,1.69,2.59,7.2,0.45,35.78,0.79,0.56,4.86,1.23,18003.42,19634.98,47.3,0.12,26.3,31.38,4.95,3.6,185.44,6113.66,19.5,19.13,54.09,51.76,556.98,425.86,294.74,1107.535,1462.78,752.29,1901.61,2475.47,1327.75,1578.82,6.14,1
Asia,Turkey,Ankara,28.31,6.63,22.64,32.88,32.88,3.76,16.09,3.76,2.15,2.74,1.67,0.73,0.3,0.95,0.44,1.27,1.68,4.91,3.89,8.48,0.74,1.58,0.73,0.87,0.55,0.44,0.65,0.24,6.81,1.53,2.05,1.61,0.38,18.72,0.54,0.32,2.68,1.4,34870.89,31706.71,50.99,0.05,8.75,20.11,10.69,2.68,201.4,4342.93,35.15,26.54,67.75,53.5,280.27,216.805,153.34,409.105,483.53,334.68,627.19,755.11,499.27,368.3,20.4,1
North America,Bermuda,Hamilton,146.04,98.58,148.66,81.07,81.07,29,150,15,9,10,5.61,3,2.43,4.24,6.85,6.68,5.16,15.24,20.94,23.71,12.94,6.79,10.46,9.62,8.46,6.63,5.86,3.47,23.5,5.1,6.25,17.62,4.5,69,6.5,3,43.9,2.25,39000,36000,271.65,0.4,142,168.57,50,13.5,1201.6,24666.67,90.75,55,142.5,141.33,3250,2650,2050,5495.835,6666.67,4325,8036.47,10381.96,5690.98,5973.81,6.5,1
North America,Trinidad And Tobago,Port of Spain,54.88,15.97,53.96,38.47,38.47,11.34,88.34,7.36,1.62,2.65,3.42,0.97,0.75,2,2.16,1.87,3.49,7.72,6.34,7.7,3.44,1.86,2.02,4.1,1.16,1.19,1.36,1.05,16.2,1.75,2.59,6.04,0.88,66.25,0.96,1.03,11.78,0.88,26501.58,34047.16,82.54,0.2,46.7,49.69,15.61,7.36,172.86,5852.43,63.8,45.64,99.38,95.09,507.13,450.855,394.58,938.185,1096.05,780.32,3288.42,4754.34,1822.5,767.44,5.19,1
North America,Belize,Belmopan,51.3,11.64,48.76,45.73,45.73,3.98,22,5.48,3.5,4.5,2.66,1.33,0.83,1.43,2.08,2.73,2.31,10,2.5,0,0,1,0,1.5,1.84,1.5,1.24,1.12,14.5,1.88,2.5,0,0.99,0,2.48,2.48,0,1.42,0,0,79.75,0.12,85.95,0,0,0,0,0,26.07,22.35,62.03,62.1,349.28,303.535,257.79,607.225,723.68,490.77,250,500,0,1023.05,10,0
Africa,Seychelles,Victoria,65.93,32.35,61.55,19.43,19.43,15.79,58.04,6.31,3.87,4.79,5.67,3.21,1.95,1.66,1.41,2.18,2.81,25.26,5.34,10.97,2.83,2.66,1.55,6.11,1.74,1.28,1.16,1.55,9.7,2.81,3.22,10.96,0.67,22.73,4.98,1.89,17.94,1.27,23776.49,37182.49,66.55,0.3,116.57,66.73,20.77,5.12,346.23,4124.2,59.1,63.32,93.73,60.14,925.42,770.575,615.73,1509.545,1819.87,1199.22,1215.73,1157.72,1273.74,588.89,16,1
Europe,Malta,Valletta,67.84,29.72,59.59,44.18,44.18,18.7,83.1,9.35,3.12,4.15,3.01,2.11,1.53,1.07,1.62,2.78,2.7,12.12,9.35,15.23,2.6,1.89,2.26,3.84,2.59,3.12,1.83,1.47,7.27,1.79,3.25,5.92,1.56,27.01,6.75,2.08,31.16,1.42,17657.84,22158.86,156.72,0.39,53.09,74.44,27.27,15.58,553.63,9867.62,107.76,66.22,132.43,176.58,967.29,895.88,824.47,2011.755,2557.79,1465.72,7392.06,8655.81,6128.31,1167.88,4.67,1
North America,Canada,Hamilton,70.22,34.33,70.01,87.98,87.98,14.15,61.42,8.93,5.21,5.58,3.45,1.87,1.28,1.62,2.49,4.15,2.99,14.02,12.85,13.61,4.31,1.47,3.53,3.76,1.85,2.34,1.97,2.12,11.17,1.92,2.63,10.72,2.42,81.9,3.28,1.34,25.84,1.42,20921.23,19074.8,155.87,0.21,61.69,41.21,19.85,13.4,843.8,11167.92,51.89,41.41,77.15,90.99,1198.69,1140.805,1082.92,1875.065,1905.99,1844.14,4299.915,4315.34,4284.49,2829.21,4.44,1
Asia,Lebanon,Tripoli,69.62,24.81,66.83,35.12,35.12,10,40,8,3,4.5,1.79,1.05,0.36,1.75,0.42,1.48,2.48,7.67,7.33,10.67,1.5,0.8,1.5,1.5,1.37,1.07,1,0.98,7,1.13,3,3,1,50,4,1,9,0.93,20000,20000,158.33,0.3,56.67,48.75,25,8,233.33,4500,60,35,112.5,75,450,362.5,275,937.5,1150,725,1025,1300,750,833.33,5,0
South America,Argentina,San Juan,34.69,7.71,28.17,30.72,30.72,6,26.5,5.5,1.5,2.5,1.62,0.66,0.57,0.87,1.5,1.33,1.8,5.27,3.5,5.48,0.91,0.95,1.24,1.28,0.62,0.67,0.63,1.15,3.08,1.35,1.93,2.05,0.2,11.7,0.7,1,10,0.8,23888.63,27560.5,27.75,0.14,32.59,0,0,5.69,71,960,38.96,78.45,132.09,72.64,150,137.5,125,225,250,200,0,0,0,0,45.67,0
South America,Brazil,Brasília,33.24,8.27,28.16,27.85,27.85,4.66,27.95,5.59,1.58,2.8,1.57,0.91,0.63,0.97,1.2,1.08,1.75,7.98,3.78,8.12,1.35,0.86,0.75,1.29,0.89,0.82,0.58,0.62,7.45,1.01,2.25,1.89,0,0,1.01,0.47,4.47,1.23,17403.01,25046,62.64,0.2,21.75,0,0,5.78,268.33,6062.19,45.48,41.14,66.59,52.03,"	1,981.82",0,0,2403.845,"4,807.69",0,5403.205,"10,806.41",0,0,8.57,0
North America,Panama,Santiago,51.43,21.75,52.16,33.09,33.09,4.5,33.5,5.25,1.75,3,2.94,1.23,1,1.5,2,1.92,1.8,7.45,4.5,8.13,2.5,1.2,2.97,3.22,1.84,1.96,1,1.2,7,1,1.25,5.9,0.25,30.43,1,0.8,20,0.85,17000,15000,98.85,0.16,35,25,50,5.79,358.89,11675,28,30,45,60,300,275,250,450,500,400,1050,1200,900,700,5.86,0
Europe,Malta,Rabat,67.84,29.72,59.59,44.18,44.18,0,103.87,0,0,0,4.67,0,0,0.99,0.81,2.96,2.7,13.5,7.79,28.04,1.87,1.56,1.56,3.74,0.83,2.6,1.04,0.52,7.27,1.3,1.09,5.92,1.56,0,2.6,1.56,20.77,1.46,19735.24,28044.81,105.95,0.05,25.97,62.32,41.55,13.5,173.12,3116.09,62.32,36.35,77.9,124.64,830.96,830.96,830.96,1402.24,1246.44,1558.04,3635.44,3116.09,4154.79,1142.57,2.7,0
